Grapheme	IPA
yuká	j u k a
aúlikiare̥	a u ɺ i k i a ɾ ɨ
yoxkáponani	j ɔ h k a p ɔ n a n i
pē̠rá	p ɛ ɛ ɾ a
púuai	p u u a i
yukunanía	j u k u n a n i a
poḥṓuai̯	p ɔ h ɔ ɔ w a i
gā́lie	g a a ɺ i e
gā́li	g a a ɺ i
gālitsiali	g a a ɺ i ts i a ɺ i
gúi	g u i
ṓia	ɔ ɔ j a
kā̠́e̥	k ɑ ɑ ɨ
ṓie	ɔ ɔ j e
kālomalí	k a a ɺ ɔ m a ɺ i
áualiga	a w a ɺ i g a
pōlétulu	p ɔ ɔ ɺ e t u ɺ u
pōréturu	p ɔ ɔ ɾ e t u ɾ u
uahía	w a h i a
pupáka	p u p a k a
mé̥	m ɨ
mḗ	m e e
māmía	m a a m i a
mā́'me̥re̥	m a a ʔ m ɨ ɾ ɨ
uai	w a i
me̥āmé̥	m ɨ a a m ɨ
aá	a a
aké̥lame̥	a k ɨ ɺ a m ɨ
wiipoe̠káke̠	w i i p ɔ ɛ k a k ɛ
kādoxkápoali	k a a d ɔ h k a p ɔ a ɺ i
báua	b a w a
báue	b a w e
yanúuli	j a n u u ɺ i
ōlé̠a	ɔ ɔ ɺ ɛ a
sikonḗ̠ri	s i k ɔ n ɛ ɛ ɾ i
núli	n u ɺ i
ṓ'lé̠a	ɔ ɔ ʔ ɺ ɛ a
yḗrigobe̠	j e e ɾ i g ɔ b ɛ
bū́lugō	b u u ɺ u g ɔ ɔ
ya'nákope̠	j a ʔ n a k ɔ p ɛ
yanágoḥe̠	j a n a g ɔ h ɛ
yē̠niyá	j ɛ ɛ n i j a
six̯síama	s i h s i a m a
se̥x̯sé̥ama	s ɨ h s ɨ a m a
yátai̯ga	j a t a i g a
díanōpi	d i a n ɔ ɔ p i
ṓliaka	ɔ ɔ ɺ i a k a
gōlóphūna	g ɔ ɔ ɺ ɔ p h u u n a
miūla	m i u u ɺ a
uadyúlika	w a dʒ u ɺ i k a
ṓropu	ɔ ɔ ɾ ɔ p u
gōróphūna	g ɔ ɔ ɾ ɔ p h u u n a
koapái	k ɔ a p a i
gā́mē̠ri	g a a m ɛ ɛ ɾ i
tx̯e̥dyé̥	tʃ ɨ dʒ ɨ
ikiákoini	i k i a k ɔ i n i
axtsī́nika	a h ts i i n i k a
axsíama	a h s i a m a
hḗ̠kiaki	h ɛ ɛ k i a k i
uxtí	u h t i
úti	u t i
ū́tia	u u t i a
hū́ti	h u u t i
kótapu	k ɔ t a p u
hókoa	h ɔ k ɔ a
tsōróbu	ts ɔ ɔ ɾ ɔ b u
ókolihotó	ɔ k ɔ ɺ i h ɔ t ɔ
hokólihoto	h ɔ k ɔ ɺ i h ɔ t ɔ
lianyamága	ɺ i a ɲ a m a g a
dianyamága	d i a ɲ a m a g a
e̥xtámu	ɨ h t a m u
ātá	a a t a
dikánapiroa	d i k a n a p i ɾ ɔ a
mumiákakoa	m u m i a k a k ɔ a
māli	m a a ɺ i
ge̥á	g ɨ a
dyihá	dʒ i h a
yéta	j e t a
yé'ta	j e ʔ t a
balalikḗ̠	b a ɺ a ɺ i k ɛ ɛ
dexkópakana	d e h k ɔ p a k a n a
uiíaka	w i i a k a
uīrí	w i i ɾ i
bōlé̠riye̠	b ɔ ɔ ɺ ɛ ɾ i j ɛ
bṓle̠	b ɔ ɔ ɺ ɛ
bóya	b ɔ j a
pṓle̠	p ɔ ɔ ɺ ɛ
bóiya	b ɔ i j a
póle̠	p ɔ ɺ ɛ
amuuítoa	a m u u i t ɔ a
yaxhí	j a h i
boḥó	b ɔ h ɔ
būdyaboía	b u u dʒ a b ɔ j a
háupu	h a u p u
yaḥí	j a h i
pe̠ā́maxsa	p ɛ a a m a h s a
kalíua	k a ɺ i w a
kaliuāna	k a ɺ i w a a n a
karíua	k a ɾ i w a
yé̠ua	j ɛ w a
é̠oa	ɛ ɔ a
ē̠yā́lo	ɛ ɛ j a a ɺ ɔ
hā́naia	h a a n a j a
hā́naya	h a a n a j a
oaḗ̠yoka	ɔ a ɛ ɛ j ɔ k a
uaxpéweyo	w a h p e w e j ɔ
yémanape̥	j e m a n a p ɨ
mī́nu	m i i n u
uī́ne̥	w i i n ɨ
uī́noa	w i i n ɔ a
iā́re̥	j a a ɾ ɨ
uex̯kowe̥lī́e	w e h k ɔ w ɨ ɺ i i e
kahe̠pitía	k a h ɛ p i t i a
nomé̠	n ɔ m ɛ
númi	n u m i
nomó	n ɔ m ɔ
lā́ko	ɺ a a k ɔ
yai̯iuáxsuru	j a i i w a h s u ɾ u
yai̯iuáxsulu	j a i i w a h s u ɺ u
taā́pipalikía	t a a a p i p a ɺ i k i a
taā́pipanikía	t a a a p i p a n i k i a
salupukóa	s a ɺ u p u k ɔ a
sadupukóa	s a d u p u k ɔ a
uā́kilupukoa	w a a k i ɺ u p u k ɔ a
uā́kidupukoa	w a a k i d u p u k ɔ a
takū́li	t a k u u ɺ i
se̠nyix̯ká	s ɛ ɲ i h k a
kuayḗ̠rie	k u a j ɛ ɛ ɾ i e
kuayḗ̠ri	k u a j ɛ ɛ ɾ i
kāmíno	k a a m i n ɔ
yé̠'yoa	j ɛ ʔ j ɔ a
yé̠yoa	j ɛ j ɔ a
sapīpḗ̠ga	s a p i i p ɛ ɛ g a
ḗ̠olo	ɛ ɛ ɔ ɺ ɔ
e̠ólaka	ɛ ɔ ɺ a k a
yamú	j a m u
yámu	j a m u
ya'múa	j a ʔ m u a
yaúre̥	j a u ɾ ɨ
yamúa	j a m u a
uámulika	w a m u ɺ i k a
yaṓlipuli	j a ɔ ɔ ɺ i p u ɺ i
īnakuliuḗ̠he̠naka	i i n a k u ɺ i w ɛ ɛ h ɛ n a k a
pā́pitaka	p a a p i t a k a
bōlé̠	b ɔ ɔ ɺ ɛ
ḗ̠bo	ɛ ɛ b ɔ
hūtipobáka	h u u t i p ɔ b a k a
hé̠oaki	h ɛ ɔ a k i
hōtípoa	h ɔ ɔ t i p ɔ a
yoxsó	j ɔ h s ɔ
hīrúa	h i i ɾ u a
háe̥	h a ɨ
hḗ	h e e
hehḗ	h e h e e
ā́e̥	a a ɨ
háu	h a u
dahābé̥loge̠	d a h a a b ɨ ɺ ɔ g ɛ
kálu	k a ɺ u
naṓka	n a ɔ ɔ k a
le̠líkoḥe̠	ɺ ɛ ɺ i k ɔ h ɛ
káru	k a ɾ u
me̥é	m ɨ e
mé̥e̥	m ɨ ɨ
mií	m i i
mé̥he̥	m ɨ h ɨ
meé	m e e
mibáubadyube̠	m i b a u b a dʒ u b ɛ
kamĩ́ã	k a m ĩ ã
me̥á	m ɨ a
mé̥a	m ɨ a
mihá	m i h a
mé̥ta	m ɨ t a
meá	m e a
mé̥yabe̠ro	m ɨ j a b ɛ ɾ ɔ
mé̥e̥yapātupáhi	m ɨ ɨ j a p a a t u p a h i
mínikate̠mupái	m i n i k a t ɛ m u p a i
mé̠patolo	m ɛ p a t ɔ ɺ ɔ
mitaā́bika	m i t a a a b i k a
me̠ríue̠sḗ̠re̥	m ɛ ɾ i w ɛ s ɛ ɛ ɾ ɨ
me̠líue̠sḗ̠re̥	m ɛ ɺ i w ɛ s ɛ ɛ ɾ ɨ
me̥ā́yawii	m ɨ a a j a w i i
mé̥āyau̯e̠é̠	m ɨ a a j a w ɛ ɛ
miháliuiia	m i h a ɺ i w i i a
me̠sauī́re̥	m ɛ s a w i i ɾ ɨ
īnayáwii	i i n a j a w i i
e̥yé̥yau̯e̠é̠	ɨ j ɨ j a w ɛ ɛ
nāliuiía	n a a ɺ i w i i a
ne̠uī́re̥	n ɛ w i i ɾ ɨ
be̥gé̥masi	b ɨ g ɨ m a s i
mā́nuḥāke̥	m a a n u h a a k ɨ
ué̠koa 	w ɛ k ɔ a 
ūkúame	u u k u a m e
úaḥoa	u a h ɔ a
mé̥ni	m ɨ n i
mé̥'ni	m ɨ ʔ n i
de̠kó_ix̯é̥	d ɛ k ɔ + i tʃ ɨ
yeé̥	j e ɨ
