Grapheme	IPA
málaai̯dyu	m a ɺ a a i dʒ u
le̠rū́re̥	ɺ ɛ ɾ u u ɾ ɨ
wīgólotx̯amu	w i i g ɔ ɺ ɔ tʃ a m u
uā́pakopé̠a	w a a p a k ɔ p ɛ a
kuī́ri	k u i i ɾ i
yḗle̥	j e e ɺ ɨ
ya'koá	j a ʔ k ɔ a
siakṓkia	s i a k ɔ ɔ k i a
kuísipóali	k u i s i p ɔ a ɺ i
yímogati	j i m ɔ g a t i
yakólipite̠koa	j a k ɔ ɺ i p i t ɛ k ɔ a
siagóne̥keri	s i a g ɔ n ɨ k e ɾ i
yakotáya	j a k ɔ t a j a
siakorasé̠ḥoiri	s i a k ɔ ɾ a s ɛ h ɔ i ɾ i
uaḥóa	w a h ɔ a
ge̥lá	g ɨ ɺ a
yagé̥la	j a g ɨ ɺ a
itá	i t a
ge̥tā́ri	g ɨ t a a ɾ i
yūlikā	j u u ɺ i k a a
ue̠lé̠i̯	w ɛ ɺ ɛ i
yiyā́nye̥	j i j a a ɲ ɨ
óḥoasisi	ɔ h ɔ a s i s i
ue̠ré̠i̯	w ɛ ɾ ɛ i
yiyā́nyu	j i j a a ɲ u
yō'ā́loge̠	j ɔ ɔ ʔ a a ɺ ɔ g ɛ
yoa'má	j ɔ a ʔ m a
yṓ'e̠	j ɔ ɔ ʔ ɛ
yóe̠na	j ɔ ɛ n a
itape̠hā́lige̥	i t a p ɛ h a a ɺ i g ɨ
hotōnié	h ɔ t ɔ ɔ n i e
houá	h ɔ w a
é̥ye̠	ɨ j ɛ
yáuike̥tsi	j a w i k ɨ ts i
ue̥agé̥gero	w ɨ a g ɨ g e ɾ ɔ
yauí	j a w i
úkirika	u k i ɾ i k a
he̥yḗ̠ke̥ke̥	h ɨ j ɛ ɛ k ɨ k ɨ
he̥iḗ̠ke̥ke̥	h ɨ j ɛ ɛ k ɨ k ɨ
yée̥pe̥	j e ɨ p ɨ
yépé	j e p e
yipā́ki	j i p a a k i
hā́ke̥	h a a k ɨ
yépe̥	j e p ɨ
ne̥má	n ɨ m a
lē̠kíake̥	ɺ ɛ ɛ k i a k ɨ
tālabé̠olé	t a a ɺ a b ɛ ɔ ɺ e
uex̯kopoáli	w e h k ɔ p ɔ a ɺ i
póa	p ɔ a
kipōtiá	k i p ɔ ɔ t i a
té̠ḥau̯īri	t ɛ h a w i i ɾ i
mé̠oko	m ɛ ɔ k ɔ
nīmáke̥li	n i i m a k ɨ ɺ i
