Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^yáe	yáe	yáegé̥le̥	Yupua	1	U+005e U+0079 U+00e1 U+0065
^ṓs	<?>	ṓsetsalino	Desano	1	U+005e U+1e53 U+0073
^ãyã́	ãyã́	ãyã́ḥāke̥	Koretu	1	U+005e U+00e3 U+0079 U+00e3 U+0301
íy$	íy	uahupíy	Yahuna	1	U+00ed U+0079 U+0024
ei̯	ei̯	kṓrokolei̯kia	Koretu	1	U+0065 U+0069 U+032f
^yui	yui	yuiró	Desano	1	U+005e U+0079 U+0075 U+0069
eya	eya	taāpitualikeyapúa	Yahuna	1	U+0065 U+0079 U+0061
e̠ye̠$	e̠ye̠	pe̠áme̠ye̠	Desano	1	U+0065 U+0320 U+0079 U+0065 U+0320 U+0024
^ā́h	ā́h	ā́hia	Yahuna	1	U+005e U+0101 U+0301 U+0068
ũ$	ũ	tsṹũrũ	Desano	1	U+0169 U+0024
^ue̠ai̯	ue̠ai̯	ue̠ai̯pái	Yupua	1	U+005e U+0075 U+0065 U+0320 U+0061 U+0069 U+032f
uii$	uiː	yuxke̥tsíruii	Desano	1	U+0075 U+0069 U+0069 U+0024
oi̯ye$	oi̯ye	ā́noi̯ye	Desano	1	U+006f U+0069 U+032f U+0079 U+0065 U+0024
oye$	oye	ā́noye	Desano	1	U+006f U+0079 U+0065 U+0024
e̠uíya$	e̠uíya	te̠ube̠uíya	Yahuna	1	U+0065 U+0320 U+0075 U+00ed U+0079 U+0061 U+0024
oaí	oaí	se̠mokoloaígabi	Yahuna	1	U+006f U+0061 U+00ed
ae̠	ae̠	sālítae̠ga	Yahuna	1	U+0061 U+0065 U+0320
íe̥$	íe̥	toatíe̥	Yupua	1	U+00ed U+0065 U+0325 U+0024
oio$	oio	ḥé̥ḥoio	Koretu	1	U+006f U+0069 U+006f U+0024
uo	uo	pū́puoga	Yahuna	1	U+0075 U+006f
ū́ya	ū́ya	bū́yapoka	Desano	1	U+016b U+0301 U+0079 U+0061
úue̥	úue̥	puhúue̥é̥li	Yupua	1	U+00fa U+0075 U+0065 U+0325
uyá$	uyá	buyá	Desano	1	U+0075 U+0079 U+00e1 U+0024
^úai̯	úai̯	úai̯ru	Desano	1	U+005e U+00fa U+0061 U+0069 U+032f
nh	nh	pe̠ánhua	Desano	1	U+006e U+0068
e̠áye	e̠áye	pe̠áyeri	Desano	1	U+0065 U+0320 U+00e1 U+0079 U+0065
aya	aya	pé̠kayape̠	Yahuna	1	U+0061 U+0079 U+0061
iai	iai	he̠kiaiē̠re̥	Koretu	1	U+0069 U+0061 U+0069
^uáya	uáya	uáyalidā	Desano	1	U+005e U+0075 U+00e1 U+0079 U+0061
yo	yo	oaḗ̠yoka	Yahuna	1	U+0079 U+006f
š	š	hu'tšía	Yahuna	1	U+0161
a̠$	a̠	ké̥la̠	Koretu	1	U+0061 U+0320 U+0024
yí	yí	kanyíríka	Yahuna	1	U+0079 U+00ed
uuí	uːí	amuuítoa	Yahuna	1	U+0075 U+0075 U+00ed
iáe̠	iáe̠	tsamaapiáe̠ka	Yahuna	1	U+0069 U+00e1 U+0065 U+0320
aie̥$	aie̥	ópaie̥	Koretu	1	U+0061 U+0069 U+0065 U+0325 U+0024
^úa	úa	úaḥoa	Yahuna	1	U+005e U+00fa U+0061
íoa	íoa	kahíoaka	Yahuna	1	U+00ed U+006f U+0061
īs	īs	hīsínoko	Yahuna	1	U+012b U+0073
ie	ie	axpíndieriru	Desano	1	U+0069 U+0065
ĩẽ́$	ĩẽ́	maxĩẽ́	Desano	1	U+0129 U+1ebd U+0301 U+0024
ã́e̥$	ã́e̥	yee̥mã́e̥	Yupua	1	U+00e3 U+0301 U+0065 U+0325 U+0024
ã̄e̥$	ã̄e̥	yée̥mã̄e̥	Yupua	1	U+00e3 U+0304 U+0065 U+0325 U+0024
^yua	yua	yuamahí	Yahuna	1	U+005e U+0079 U+0075 U+0061
^áo$	áo	áo	Yahuna	1	U+005e U+00e1 U+006f U+0024
ãõ$	ãõ	yémãõ	Desano	1	U+00e3 U+00f5 U+0024
