ID	CONCEPT	CONCEPT_IN_SOURCE	DATASET	DOCULECT	GLOTTOCODE	VALUE	FORM	TOKENS	LID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
205	shaman (folk healer)	shaman, folk healer	hubercolumbian	H-Desano	desa1247	je	je	j e	hubercolumbian-Desano-198_shamanfolkhealer-1	6 7	AX	JE	1	1.J.C 1.E.V	2.0 1.5	je	1	1892
601	shaman (folk healer)	shaman, folk healer	hubercolumbian	H-Siriano	siri1274	jé	jé	j e	hubercolumbian-Siriano-198_shamanfolkhealer-1	6 7	AX	JE	2	2.J.C 2.E.V	2.0 1.5	je	1	1892
987	shaman (folk healer)	shaman, folk healer	hubercolumbian	H-Tanimuca	tani1257	jeʔoiki	jeʔoiki	j e ʔ o i k i	hubercolumbian-Tanimuca-198_shamanfolkhealer-1	6 7 1 7 7 1 7	AXBYYBZ	JEHUIKI	3	3.J.C 3.E.V 3.H.C 3.U.V 3.I.V 3.K.C 3.I.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	jeʔoiki	0	1894
358	sharp	sharp	hubercolumbian	H-Desano	desa1247	usipu	usipu	u s i p u	hubercolumbian-Desano-339_sharp-1	7 3 7 1 7	XBYBZ	YSIPY	1	1.Y.V 1.S.C 1.I.V 1.P.C 1.Y.V	1.5 1.75 1.3 1.75 0.8	usipu	0	1895
749	sharp	sharp	hubercolumbian	H-Siriano	siri1274	usípu	usípu	u s i p u	hubercolumbian-Siriano-339_sharp-1	7 3 7 1 7	XBYBZ	YSIPY	2	2.Y.V 2.S.C 2.I.V 2.P.C 2.Y.V	1.5 1.75 1.3 1.75 0.8	usipu	0	1895
1137	sharp	sharp	hubercolumbian	H-Tanimuca	tani1257	opika	opika	o p i k a	hubercolumbian-Tanimuca-339_sharp-1	7 1 7 1 7	XBYBZ	UPIKA	3	3.U.V 3.P.C 3.I.V 3.K.C 3.A.V	1.5 1.75 1.3 1.75 0.8	opika	0	1897
210	she	she	hubercolumbian	H-Desano	desa1247	igó	igó	i g o	hubercolumbian-Desano-203_she-1	7 1 7	XBZ	IKU	1	1.I.V 1.K.C 1.U.V	1.5 1.75 0.8	igo	0	1898
606	she	she	hubercolumbian	H-Siriano	siri1274	igó	igó	i g o	hubercolumbian-Siriano-203_she-1	7 1 7	XBZ	IKU	2	2.I.V 2.K.C 2.U.V	1.5 1.75 0.8	igo	0	1898
991	she	she	hubercolumbian	H-Tanimuca	tani1257	iʔko	iʔko	i ʔ k o	hubercolumbian-Tanimuca-203_she-1	7 1 1 7	XMBZ	IHKU	3	3.I.V 3.H.c 3.K.C 3.U.V	1.5 1.1 1.75 0.8	iʔko	0	1898
2918	shell	shell	kochtukanoan	K-Yahuna	yahu1241	āróa	āróa	a a ɾ ɔ a	kochtukanoan-Yahuna-569_shell-1	7 7 5 7 7	XYBYZ	AARUA	6	6.A.V 6.A.V 6.R.C 6.U.V 6.A.V	1.5 1.3 1.75 1.3 0.8	aaɾɔa	0	1899
1604	shell of the big-headed amazon river turtle	shell of the big-headed amazon river turtle	kochtukanoan	K-Desano	desa1247	pē̠yúpe̠ru̠	pē̠yúpe̠ru̠	p ɛ ɛ j u p ɛ ɾ ʊ	kochtukanoan-Desano-524_shellofthebigheadedamazonriverturtle-1	1 7 7 6 7 1 7 5 7	AXYBYBYBZ	PEEJYPERY	4	4.P.C 4.E.V 4.E.V 4.J.C 4.Y.V 4.P.C 4.E.V 4.R.C 4.Y.V	2.0 1.5 1.3 1.75 1.3 1.75 1.3 1.75 0.8	pɛɛjupɛɾʊ	0	1900
1404	shield	shield	kochtukanoan	K-Desano	desa1247	uabḗ̠ro	uabḗ̠ro	w a b ɛ ɛ ɾ ɔ	kochtukanoan-Desano-264_shield-1	6 7 1 7 7 5 7	AXBYYBZ	WAPEERU	4	4.W.C 4.A.V 4.P.C 4.E.V 4.E.V 4.R.C 4.U.V	2.0 1.5 1.75 1.3 1.3 1.75 0.8	wabɛɛɾɔ	0	1901
29	shin	shin	hubercolumbian	H-Desano	desa1247	jĩgã́ gõã́	jĩgã́ gõã́	j ĩ g ã + g õ ã	hubercolumbian-Desano-28_shin-1	6 7 1 7 9 1 7 7	AXBZ_AXZ	JIKA_KUA	1	1.J.C 1.I.V 1.K.C 1.A.V 1._._ 1.K.C 1.U.V 1.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	jĩgã+gõã	0	1902
30	shin	shin	hubercolumbian	H-Desano	desa1247	sũgṹ gõã́	sũgṹ gõã́	s ũ g ũ + g õ ã	hubercolumbian-Desano-28_shin-2	3 7 1 7 9 1 7 7	AXBZ_AXZ	SYKY_KUA	1	1.S.C 1.Y.V 1.K.C 1.Y.V 1._._ 1.K.C 1.U.V 1.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	sũgũ+gõã	0	1902
429	shin	shin	hubercolumbian	H-Siriano	siri1274	jĩgãgṍʔã	jĩgãgṍʔã	j ĩ g ã g õ ʔ ã	hubercolumbian-Siriano-28_shin-1	6 7 1 7 1 7 1 7	AXBYBYBZ	JIKAKUHA	2	2.J.C 2.I.V 2.K.C 2.A.V 2.K.C 2.U.V 2.H.C 2.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	jĩgãgõʔã	0	1903
814	shin	shin	hubercolumbian	H-Tanimuca	tani1257	jĩkaõbẽã	jĩkaõbẽã	j ĩ k a õ b ẽ ã	hubercolumbian-Tanimuca-28_shin-1	6 7 1 7 7 1 7 7	AXBYYBYZ	JIKAUPEA	3	3.J.C 3.I.V 3.K.C 3.A.V 3.U.V 3.P.C 3.E.V 3.A.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 0.8	jĩkaõbẽã	0	1903
